"Tuesday July 1, 2025",,,
Company,Gross,Net,Corp
Nickelodeon,$17.13 ,$17.13 ,EML
Paramount Pictures Corporation,$351.44 ,$351.44 ,EML
Paramount Pictures Corporation,$55.37 ,$55.37 ,LBI
Paramount Pictures Corporation,$94.62 ,$94.62 ,LBI
Paramount Pictures Corporation,$13.91 ,$13.91 ,EML
Warner Bros. Pictures Inc.,$63.20 ,$63.20 ,EML
Warner Bros. Pictures Inc.,"$1,263.12 ","$1,263.12 ",LBI
Metro-Goldwyn-Mayer Pictures Inc.,$13.05 ,$13.05 ,EML
Universal City Studios LLC,"$6,223.55 ","$6,223.55 ",LBI
Universal City Studios LLC,$41.58 ,$41.58 ,EML
Universal City Studios LLC,"$3,254.83 ","$3,254.83 ",EML
Walt Disney Pictures,$993.98 ,$993.98 ,EML
Walt Disney Pictures,$25.09 ,$15.69 ,LehBod
Walt Disney Pictures,"$3,464.00 ","$3,464.00 ",LBI
Warner Bros. Pictures Inc.,$222.05 ,$222.05 ,EML
Warner Bros. Pictures Inc.,$275.06 ,$275.06 ,LBI
Warner Bros. Pictures Inc.,$18.82 ,$15.93 ,LehBod
Warner Bros. Pictures Inc.,$279.51 ,$279.51 ,EML
Warner Bros. Pictures Inc.,$98.74 ,$98.74 ,LBI
,,"$5,250.68 ",EML
,,"$11,474.46 ",LBI
,,$31.62 ,LehBod